
tge, steps_to_convert, formula_res, formula - reference

1, 1, 0.001002071961948007, 0.000002071961948006901
1, 10, 0.009999169684814522, -0.0000008303151854786861
1, 100, 0.100002471815478, 0.0000024718154779945767
1, 1000, 1.0000031682201145, 0.000003168220114480036
1, 10000, 9.999999357299147, -0.0000006427008525378142
1, 100000, 99.99999896047512, -0.0000010395248750683095
1, 1000000, 999.9999896047514, 0.000003623442921707465
1, 10000000, 9999.998813163296, 0.00000007918424671515822

10, 1, 0.00099668447828162, -0.0000033155217183799147
10, 10, 0.009999169684814522, -0.0000008303151854786861
10, 100, 0.09999708433181162, -0.000002915668188385734
10, 1000, 0.9999977807364482, -0.000002219263551817008
10, 10000, 9.999999357299147, -0.0000006427008525378142
10, 100000, 99.99999896047512, -0.0000010395248750683095
10, 1000000, 999.9999842172676, -0.0000017640408032093546
10, 10000000, 9999.998813163296, 0.00000007918424671515822

100, 1, 0.001002071961948007, 0.000002071961948006901
100, 10, 0.009999169684814522, -0.0000008303151854786861
100, 100, 0.100002471815478, 0.0000024718154779945767
100, 1000, 1.0000031682201145, 0.000003168220114480036
100, 10000, 9.999999357299147, -0.0000006427008525378142
100, 100000, 99.99999896047512, -0.0000010395248750683095
100, 1000000, 999.9999842172676, -0.0000017640408032093546
100, 10000000, 9999.998813163296, 0.00000007918424671515822

1000, 1, 0.001002071961948007, 0.000002071961948006901
1000, 10, 0.009999169684814522, -0.0000008303151854786861
1000, 100, 0.100002471815478, 0.0000024718154779945767
1000, 1000, 0.9999977807364482, -0.000002219263551817008
1000, 10000, 9.999999357299147, -0.0000006427008525378142
1000, 100000, 99.99999896047512, -0.0000010395248750683095
1000, 1000000, 999.9999842172676, -0.0000017640408032093546
1000, 10000000, 9999.998813163296, 0.00000007918424671515822

10000, 1, 0.00099668447828162, -0.0000033155217183799147
10000, 10, 0.009999169684814522, -0.0000008303151854786861
10000, 100, 0.09999708433181162, -0.000002915668188385734
10000, 1000, 0.9999977807364482, -0.000002219263551817008
10000, 10000, 9.999999357299147, -0.0000006427008525378142
10000, 100000, 99.99999896047512, -0.0000010395248750683095
10000, 1000000, 999.9999842172676, -0.0000017640408032093546
10000, 10000000, 9999.998807775813, -0.0000006354002834996209

100000, 1, 0.00099668447828162, -0.0000033155217183799147
100000, 10, 0.009999169684814522, -0.0000008303151854786861
100000, 100, 0.09999708433181162, -0.000002915668188385734
100000, 1000, 0.9999977807364482, -0.000002219263551817008
100000, 10000, 9.999999357299147, -0.0000006427008525378142
100000, 100000, 99.99999896047512, -0.0000010395248750683095
100000, 1000000, 999.9999842172676, -0.0000017640408032093546
100000, 10000000, 9999.99878622588, -0.0000034937456803163514

1000000, 1, 0.001002071961948007, 0.000002071961948006901
1000000, 10, 0.009999169684814522, -0.0000008303151854786861
1000000, 100, 0.09999708433181162, -0.000002915668188385734
1000000, 1000, 0.9999977807364482, -0.000002219263551817008
1000000, 10000, 9.999999357299147, -0.0000006427008525378142
1000000, 100000, 99.99999896047512, -0.0000010395248750683095
1000000, 1000000, 999.9999680548167, 0.0000007650970701433835
1000000, 10000000, 9999.998576114014, 0.0000013476601452566683

10000000, 1, 0.00099668447828162, -0.0000033155217183799147
10000000, 10, 0.009999169684814522, -0.0000008303151854786861
10000000, 100, 0.09999708433181162, -0.000002915668188385734
10000000, 1000, 0.9999977807364482, -0.000002219263551817008
10000000, 10000, 9.999993969815481, -0.0000013572873225342619
10000000, 100000, 99.9999720230568, -0.000004612457217945121
10000000, 1000000, 999.9997471679864, -0.0000004955650183546823
10000000, 10000000, 9999.996431895515, -0.000002683924321900122

100000000, 1, 0.001002071961948007, 0.000002071961948006901
100000000, 10, 0.010004557168480912, 0.000004557168480912033
100000000, 100, 0.100002471815478, 0.0000024718154779945767
100000000, 1000, 1.0000031682201145, 0.000003168220114480036
100000000, 10000, 9.99997780736448, 0.0000011718504620006343
100000000, 100000, 99.99976191119381, 0.0000002289508245212346
100000000, 1000000, 999.9976137244545, 0.0000015749217254779069
100000000, 10000000, 9999.975059747812, 0.00000367304528481327

1000000000, 1, 0.001002071961948007, 0.000002071961948006901
1000000000, 10, 0.009999169684814522, -0.0000008303151854786861
1000000000, 100, 0.100002471815478, 0.0000024718154779945767
1000000000, 1000, 0.9999762308017827, -0.0000004047122359462918
1000000000, 10000, 9.999767695501491, 0.0000013403613046136797
1000000000, 100000, 99.99762846766191, 0.000002299437610986388
1000000000, 1000000, 999.9762361892662, 0.0000025444062430324266
1000000000, 10000000, 9999.761230521091, 0.0000015491295926040038

10000000000, 1, 0.001002071961948007, 0.000002071961948006901
10000000000, 10, 0.009999169684814522, 0.000003842582010783746
10000000000, 100, 0.09998092188081245, 0.0000042863667937542704
10000000000, 1000, 0.9997661189387935, 0.0000044366958028563275
10000000000, 10000, 9.997623477002271, 0.000001981675168849506
10000000000, 100000, 99.97624554499005, 0.000002554335836180144
10000000000, 1000000, 999.762428512482, 0.000003278837084508268
10000000000, 10000000, 9997.623218403052, 0.000003449780706432648

100000000000, 1, 0.00099668447828162, -0.0000033155217183799147
100000000000, 10, 0.009977619750148974, 0.0000009842361302810076
100000000000, 100, 0.09976542253415698, -0.0000009326060299436056
100000000000, 1000, 0.9976326754069041, 0.0000018342854087860516
100000000000, 10000, 9.97627287923238, 0.00000185119499640507
100000000000, 100000, 99.76269646742178, 0.00000020573953918301413
